Abrev_Name,State,Region,Total_Population,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_J&J,Administered_Dose1,Administered_Dose1_Percentage,Administered_Dose2_Percentage,Administered_Dose1_18Plus,Administered_Dose1_18Plus_Pop_Percentage,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_65Plus,Administered_Dose1_65Plus_Pop_Percentage,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_J&J,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_J&J,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_J&J_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_J&J_65Plus,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Percentage,Series_Complete_65Plus,Series_Complete_65PlusPop_Percentage,12Plus_Population,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_12Plus,Administered_Dose1_12Plus_Pop_Percentage,Administered_Dose2_12Plus,Administered_Dose2_12Plus_Pop_Percentge,Series_Complete_12Plus,Series_Complete_12PlusPop_Percentage,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_J&J_12Plus,Count_70pct_vacc,Additional_Doses_Administered,Additional_Doses_Administered_Percentage,Additional_Doses_50Plus,Additional_Doses_50Plus_Percentage,Additional_Doses_18Plus,Additional_Doses_18Plus_Percentage,Additional_Doses_65Plus,Additional_Doses_65Plus_Percentage
GA,Georgia,South,10617423,15252615,11112900,143656,104667,4392566,6431137,279378,5952604,56.1,44.6,5554723,68.5,10418846,128413,187990,1340160,88.3,2746222,181035,1005480,4732918,4436226,54.7,6284160,8310555,657900,1947733,2778303,277479,1946920,2482671,277050,641496,503370,32526,47.2,4709588,58,1178878,77.7,8988102,11110164,123610,169698,5950270,66.2,4732474,52.7,5006103,55.7,1947676,2777922,277371,,244965,4.8,203257,8.1,244362,5.1,150471,12.7
HI,Hawaii,West,1415872,2458470,1948246,173636,137600,623655,1179596,50981,1105392,78.1,55.7,1028254,92.1,1823388,163385,220292,281617,99.9,536552,199872,915809,788119,738706,66.2,916620,1441050,100800,271123,498696,51697,270517,449909,51533,96291,126043,9957,59.3,790071,70.8,233707,87.1,1211109,1943634,160484,202993,1101569,91,786634,65,838125,69.2,271073,497273,51661,,55143,6.5,43662,10,55038,6.9,32423,13.8
IA,Iowa,Mid-West,3155070,4483895,3613995,142117,114546,1398960,2066409,148248,1863842,59.1,50.5,1746337,71.9,3390653,139635,184657,514032,93,1089196,196978,810898,1592088,1488110,61.3,1743700,2516595,223600,671288,919957,146014,671095,816179,145934,258776,220966,13503,55.1,1633448,67.3,493353,89.2,2676281,3613939,135036,167542,1863751,69.6,1592063,59.5,1737473,64.9,671281,919939,146012,,129752,7.4,110919,11.9,129585,7.9,88791,17.9
ID,Idaho,West,1787065,2364980,1659029,132339,92835,656485,932240,67996,864637,48.4,39.3,862212,64.4,1657801,123821,176641,254800,87.7,534985,184052,813631,703161,701567,52.4,924820,1317060,123100,297471,404602,67683,297450,403035,67661,108956,117403,11241,43.1,768704,57.4,237839,81.8,1495407,0,0,0,0,0,0,0,0,0,0,0,0,,65816,8.5,55830,12.8,65814,8.5,43815,18.4
IL,Illinois,Mid-West,12671821,18806625,15701304,148413,123907,5622558,9502441,555818,8802933,69.5,50.1,8133303,82.5,14535598,147510,190854,1977981,96.8,3753480,183703,920435,6347650,5864626,59.5,7007680,10875045,923900,2403366,3934934,544619,2396834,3458569,542158,725430,809182,74961,54.4,6404033,65,1612618,78.9,10837805,15659815,144492,173528,8776940,81,6333082,58.4,6874899,63.4,2403322,3920410,544590,,266408,3.8,216061,6.4,265756,4.1,163774,10.1
IN,Indiana,Mid-West,6732219,8771310,7048145,130289,104693,2531124,4232306,259730,3584336,53.2,45.7,3364615,65.2,6631888,128419,169847,949054,87.4,2065448,190234,807862,3075291,2885481,55.9,3290060,5010450,470800,1186697,1878653,255550,1186403,1689253,255299,449284,434557,29121,49.4,3138295,60.8,916602,84.4,5705039,7047655,123534,153747,3583937,62.8,3075153,53.9,3328163,58.3,1186682,1878532,255530,,237121,7.1,205183,11.4,236659,7.5,162345,17.7
KS,Kansas,Mid-West,2913314,4067815,3243579,139628,111336,1247356,1885155,109551,1791682,61.5,48.9,1667730,75.4,3017501,136349,183809,479371,99.9,915551,192550,855505,1424637,1321606,59.7,1629580,2239035,199200,581173,842286,107788,580836,739659,107686,193925,195318,17243,52.6,1428608,64.6,406705,85.5,2451697,3243400,132292,165918,1791515,73.1,1424610,58.1,1531700,62.5,581165,842267,107780,,94675,6.1,79574,10.2,94454,6.6,63191,15.5
KY,Kentucky,South,4467673,6109095,5196008,136740,116302,2112799,2877219,204553,2781882,62.3,49.7,2612749,75.4,4887670,141066,176319,716800,95.5,1421904,189445,813934,2222586,2083813,60.1,2604920,3204675,299500,964671,1255472,201432,964437,1116988,201307,290296,308863,38329,54.2,2284057,65.9,638192,85,3806167,5194839,136485,160505,2781450,73.1,2222542,58.4,2422879,63.7,964659,1255442,201403,,174297,7.1,148163,11.5,174029,7.6,113584,17.7
LA,Louisiana,South,4648794,6020180,4757889,129500,102347,1941458,2651550,162581,2462207,53,43.6,2321286,65.2,4503232,126454,169051,647026,87.3,1378578,186037,812416,2027753,1915577,53.8,2570140,3186240,263800,882827,1142993,154793,882353,1031303,154635,291990,301976,21273,46.9,2069234,58.1,615437,83.1,3923318,4757512,121262,153446,2461914,62.8,2027661,51.7,2181449,55.6,882806,1142922,154770,,165264,7.5,140506,11.6,164956,7.9,107063,17.3
MA,Massachusetts,North-East,6892503,11543950,10178352,167486,147673,3832973,6003430,341553,5452186,79.1,64.1,5055587,91.3,9447192,170536,208386,1211941,99.9,2369557,202642,987226,4420414,4084431,73.7,4503900,6545550,494500,1755389,2662658,344010,1750088,2332007,342794,471952,507676,69162,69.1,4425007,79.9,1048836,89.7,6016745,10149714,168691,191864,5435335,90.3,4408888,73.3,4750658,79,1755381,2651140,344002,,276051,5.7,228996,10.1,275580,6.2,175541,16.7
